Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/23  17:00:00,308015737.14843347,308015737.1484334,20384582.964473644 
 01/23  18:00:00,235940645.14535509,235940645.1453551,11053794.13538966 
 01/23  19:00:00,132311262.43889553,132311262.43889553,10962203.992957276 
 01/23  20:00:00,111570869.92694804,111570869.926948,6791184.0 
 01/23  21:00:00,100912160.59971816,100912160.59971816,10899616.918073593 
 01/23  22:00:00,96269263.15284068,96269263.15284068,6791184.0 
 01/23  23:00:00,77772390.65670999,77772390.65670999,6791184.0 
 01/23  24:00:00,72442274.24247962,72442274.24247962,6791184.0 
 01/24  01:00:00,57996196.7332391,57996196.7332391,6791184.0 
 01/24  02:00:00,57609860.1137362,57609860.1137362,6791184.0 
 01/24  03:00:00,57609860.1137362,57609860.1137362,6791184.0 
 01/24  04:00:00,57609860.1137362,57609860.1137362,6791184.0 
 01/24  05:00:00,57609860.1137362,57609860.1137362,6791184.0 
 01/24  06:00:00,57609860.1137362,57609860.1137362,6791184.0 
 01/24  07:00:00,89075903.7783575,89075903.77835752,6791184.0 
 01/24  08:00:00,144281886.94085295,144281886.9408529,6791184.0 
 01/24  09:00:00,336063948.7415022,336063948.74150219,6791184.0 
 01/24  10:00:00,318812324.1046516,318812324.1046515,6791184.0 
 01/24  11:00:00,314559716.0863832,314559716.08638319,6791184.0 
 01/24  12:00:00,324775638.6819533,324775638.6819533,14879282.181419228 
 01/24  13:00:00,326415500.0886584,326415500.0886584,26086766.27562668 
 01/24  14:00:00,337603095.31216469,337603095.31216469,21806495.496546776 
 01/24  15:00:00,333412870.18161287,333412870.1816128,15600723.057166737 
 01/24  16:00:00,334448001.4743605,334448001.4743605,15498897.760520809 
 01/24  17:00:00,342436362.5183132,342436362.51831319,20366504.439184205 
 01/24  18:00:00,267437971.07443638,267437971.07443638,15358238.119662084 
 01/24  19:00:00,160305871.01036639,160305871.01036636,10984503.002364168 
 01/24  20:00:00,134742331.14668096,134742331.14668096,6791184.0 
 01/24  21:00:00,120952297.88305281,120952297.88305281,6791184.0 
 01/24  22:00:00,115568150.2417242,115568150.2417242,6791184.0 
 01/24  23:00:00,77772390.65670999,77772390.65670999,6791184.0 
 01/24  24:00:00,72442274.24247962,72442274.24247962,6791184.0 
 01/25  01:00:00,57996196.7332391,57996196.7332391,6791184.0 
 01/25  02:00:00,57609860.1137362,57609860.1137362,6791184.0 
 01/25  03:00:00,57609860.1137362,57609860.1137362,6791184.0 
 01/25  04:00:00,57609860.1137362,57609860.1137362,6791184.0 
 01/25  05:00:00,57609860.1137362,57609860.1137362,6791184.0 
 01/25  06:00:00,57609860.1137362,57609860.1137362,6791184.0 
 01/25  07:00:00,102250097.22159678,102250097.22159678,6791184.0 
 01/25  08:00:00,152072254.01721836,152072254.01721836,6791184.0 
 01/25  09:00:00,325274737.75186148,325274737.7518614,6791184.0 
 01/25  10:00:00,293883491.5838579,293883491.5838579,6791184.0 
 01/25  11:00:00,288250174.86327037,288250174.86327037,6791184.0 
 01/25  12:00:00,298693365.4803873,298693365.4803873,15960354.9667277 
 01/25  13:00:00,300767571.4224943,300767571.42249426,25868730.970747964 
 01/25  14:00:00,304639210.5358175,304639210.53581747,25642053.749609408 
 01/25  15:00:00,290114842.73366597,290114842.73366597,15526801.572271824 
 01/25  16:00:00,282992385.2107715,282992385.21077147,15492394.831588664 
 01/25  17:00:00,302913104.6130387,302913104.61303868,20399270.452516855 
 01/25  18:00:00,245092265.31250624,245092265.3125063,11046191.334214535 
 01/25  19:00:00,143799083.19506143,143799083.1950614,10972723.953359399 
 01/25  20:00:00,115934504.7136676,115934504.71366759,6791184.0 
 01/25  21:00:00,100912160.59971816,100912160.59971816,6791184.0 
 01/25  22:00:00,96269263.15284068,96269263.15284068,6791184.0 
 01/25  23:00:00,77772390.65670999,77772390.65670999,6791184.0 
 01/25  24:00:00,72442274.24247962,72442274.24247962,6791184.0 
 01/26  01:00:00,57996196.7332391,57996196.7332391,6791184.0 
 01/26  02:00:00,57609860.1137362,57609860.1137362,6791184.0 
 01/26  03:00:00,57609860.1137362,57609860.1137362,6791184.0 
 01/26  04:00:00,57609860.1137362,57609860.1137362,6791184.0 
