Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),PACU_VAV_BOT:Air System Total Heating Energy [J](Hourly),PACU_VAV_BOT:Air System Total Cooling Energy [J](Hourly),PACU_VAV_MID:Air System Total Heating Energy [J](Hourly),PACU_VAV_MID:Air System Total Cooling Energy [J](Hourly),PACU_VAV_TOP:Air System Total Heating Energy [J](Hourly),PACU_VAV_TOP:Air System Total Cooling Energy [J](Hourly) 
 01/03  14:00:00,17.833333333333333,5723940.404445105,46103898.806802477,3785808.6253967985,31584516.14077825,3498439.6444211218,30527400.325246399 
 01/03  15:00:00,17.583333333333333,5244984.155590128,40866848.17752284,3577132.9934345067,28389745.94415027,3532711.389373242,28716575.225151555 
 01/03  16:00:00,17.416666666666669,5320803.125126616,39285361.15434782,3676619.9721308595,27646412.807116447,3385466.855517717,26560086.13401805 
 01/03  17:00:00,14.666666666666666,5868190.770752393,11006759.914109277,2983878.56106543,6642344.325058068,2818225.4934048366,6569676.34714717 
 01/03  18:00:00,13.0,8211152.449416449,0.0,2435446.2229700644,0.0,2447643.050901232,0.0 
 01/03  19:00:00,11.833333333333334,2955100.1970282418,0.0,2435446.2229700658,0.0,2618571.5355921669,0.0 
 01/03  20:00:00,11.583333333333334,2955100.1970282315,0.0,2435446.2229700686,0.0,2532145.096165577,0.0 
 01/03  21:00:00,10.833333333333334,3698876.610277114,0.0,3955619.99754426,0.0,6352700.256616369,0.0 
 01/03  22:00:00,8.833333333333334,9649181.487227839,0.0,10673328.611759317,0.0,15782501.47685991,0.0 
 01/03  23:00:00,9.75,0.0,0.0,0.0,0.0,0.0,0.0 
 01/03  24:00:00,9.25,0.0,0.0,0.0,0.0,0.0,0.0 
 01/04  01:00:00,8.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/04  02:00:00,8.583333333333334,0.0,0.0,0.0,0.0,0.0,0.0 
 01/04  03:00:00,10.166666666666666,0.0,0.0,0.0,0.0,0.0,0.0 
 01/04  04:00:00,9.25,0.0,0.0,0.0,0.0,0.0,0.0 
 01/04  05:00:00,6.25,0.0,0.0,0.0,0.0,0.0,0.0 
 01/04  06:00:00,6.166666666666667,0.0,0.0,0.0,0.0,0.0,0.0 
 01/04  07:00:00,7.583333333333333,13992624.522076805,0.0,15214166.626722813,0.0,25608278.264367425,0.0 
 01/04  08:00:00,10.333333333333334,19002310.125825496,361678.68397000207,6993574.609733277,0.0,22652865.65345874,0.0 
 01/04  09:00:00,13.166666666666666,6920234.970633234,0.0,2673090.1491922338,0.0,2606689.445073695,0.0 
 01/04  10:00:00,15.75,5201501.291813308,19895684.369643094,3263524.7471681425,12947018.63750979,2710427.5957974197,11189703.390074514 
 01/04  11:00:00,17.583333333333333,5162300.076981989,40278741.83704178,3374500.487692466,27134987.648386465,3097852.0446171497,25730110.71376262 
 01/04  12:00:00,18.583333333333333,5846360.130865374,55891006.120444949,3810560.0869195584,37825345.35794419,3472797.8496250316,36102693.13302686 
 01/04  13:00:00,19.0,5237950.393043798,56842047.65256031,3550011.4192054059,39375598.43995037,3580616.7172519338,40328646.644360799 
 01/04  14:00:00,19.583333333333333,6679224.236618043,73801764.90910332,3885326.907434603,46771112.364495638,3728994.09523658,46412118.709590528 
 01/04  15:00:00,19.416666666666669,6211152.990814356,68594434.87749775,4017023.4878151866,46308399.062715169,3883302.206249363,46315994.206322509 
 01/04  16:00:00,18.416666666666669,6374216.2644460429,56929491.7794475,4303240.002852559,39626982.68266018,3712507.860780062,36656362.87571965 
 01/04  17:00:00,16.833333333333333,6779050.15942672,38172562.66800387,3668641.309458132,23202611.59675768,3080909.235239193,21206709.677178105 
 01/04  18:00:00,15.416666666666666,5608521.803908869,17152186.37078364,2472562.228468393,9249967.883896307,2454907.07002717,9334277.193995044 
 01/04  19:00:00,14.416666666666666,2970766.9542350328,3166845.0014682707,2435446.222970065,2510971.1035383294,2447643.050901237,2564452.3129097635 
 01/04  20:00:00,11.666666666666666,3172211.4471963208,0.0,3093321.990753539,0.0,3670932.2370038188,0.0 
 01/04  21:00:00,10.583333333333334,3093046.0057644259,0.0,3557785.555511513,0.0,5547369.43752069,0.0 
 01/04  22:00:00,10.416666666666666,3733271.630008335,0.0,4268288.666258006,0.0,6888612.775982862,0.0 
 01/04  23:00:00,11.166666666666666,0.0,0.0,0.0,0.0,0.0,0.0 
 01/04  24:00:00,9.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0 
 01/05  01:00:00,8.583333333333334,0.0,0.0,0.0,0.0,0.0,0.0 
 01/05  02:00:00,7.833333333333333,0.0,0.0,0.0,0.0,0.0,0.0 
 01/05  03:00:00,6.416666666666667,0.0,0.0,0.0,0.0,0.0,0.0 
 01/05  04:00:00,6.583333333333333,0.0,0.0,0.0,0.0,0.0,0.0 
 01/05  05:00:00,7.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/05  06:00:00,7.583333333333333,0.0,0.0,0.0,0.0,0.0,0.0 
 01/05  07:00:00,6.25,16713852.231513557,0.0,18374196.22523146,0.0,24363093.70730171,0.0 
 01/05  08:00:00,7.333333333333333,24126039.15762842,0.0,15243891.57796551,0.0,30795578.925630966,0.0 
 01/05  09:00:00,11.333333333333334,8830509.058867824,0.0,4020897.549384242,0.0,5904530.695854937,0.0 
 01/05  10:00:00,14.75,6057737.659614787,10576484.030352977,3408617.101983281,6445704.012687021,2775424.8105608078,5488801.192021627 
 01/05  11:00:00,16.583333333333333,5974067.770066493,32065026.776141094,3588787.517079765,20458061.976331779,3171548.631510998,18902924.91388703 
 01/05  12:00:00,17.525000000000003,6721804.065592255,47053453.28239365,4032049.452959871,30301424.82228851,3585535.9310395994,28496349.943493047 
 01/05  13:00:00,17.958333333333333,5742818.902616915,47983719.65190185,3577701.455431282,31971474.7638581,3705809.740977404,33728763.159243147 
 01/05  14:00:00,17.416666666666669,7856083.475885366,50557711.00789369,4410130.418022746,32146691.95701649,3839550.3527396034,31506526.2537048 
 01/05  15:00:00,16.591666666666666,7370768.390217325,40740023.34459747,4847540.27127482,27830573.05230871,4109230.9458265856,26799333.277117835 
 01/05  16:00:00,15.483333333333335,7616170.686968235,27422245.326167428,5407857.804326654,19515781.013240786,4195492.516731299,17498289.03375198 
 01/05  17:00:00,13.791666666666666,8258678.301855941,3538984.8167183466,4593094.201632909,2138444.9990345977,3631786.5850023545,1732737.0327381935 
 01/05  18:00:00,12.416666666666666,8153440.6513920309,0.0,2502788.590320684,0.0,2461969.2593351288,0.0 
 01/05  19:00:00,11.416666666666666,3253035.6912225566,0.0,2435446.2229700519,0.0,2447643.050901213,0.0 
 01/05  20:00:00,10.416666666666666,2955100.1970282357,0.0,3572906.2055771697,0.0,5300105.15709874,0.0 
 01/05  21:00:00,9.416666666666666,5326028.487449494,0.0,7229454.93190522,0.0,9695139.866404992,0.0 
 01/05  22:00:00,10.166666666666666,4287223.840286893,0.0,4811356.552779162,0.0,7565791.732879764,0.0 
 01/05  23:00:00,9.833333333333334,0.0,0.0,0.0,0.0,0.0,0.0 
 01/05  24:00:00,7.25,0.0,0.0,0.0,0.0,0.0,0.0 
 01/06  01:00:00,6.583333333333333,0.0,0.0,0.0,0.0,0.0,0.0 
 01/06  02:00:00,7.583333333333333,0.0,0.0,0.0,0.0,0.0,0.0 
 01/06  03:00:00,8.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/06  04:00:00,10.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0 
 01/06  05:00:00,9.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0 
 01/06  06:00:00,8.583333333333334,0.0,0.0,0.0,0.0,0.0,0.0 
 01/06  07:00:00,9.0,8355099.478163988,0.0,9391708.03520668,0.0,14157401.09123832,0.0 
 01/06  08:00:00,9.0,17718931.017231056,0.0,9748787.221300362,0.0,21097426.196636794,0.0 
 01/06  09:00:00,11.333333333333334,9577873.943262706,0.0,4031481.374649108,0.0,5664751.850827532,0.0 
 01/06  10:00:00,15.333333333333334,6425569.240710099,18162848.18990756,3652848.4400054535,11261272.399972873,2791297.665340786,9196764.561912364 
 01/06  11:00:00,17.583333333333333,6305268.446289657,45769704.953287627,3874977.670415222,29866199.950984099,3228125.002115785,26574702.81091183 
 01/06  12:00:00,18.583333333333333,7050728.686668148,62436878.764021027,4300787.597198686,40854074.98948119,3614823.664667457,37124346.7555108 
 01/06  13:00:00,19.0,6212878.631020662,63164799.76359899,3605265.764071741,39704912.02672756,3692625.0874121829,41139311.39338809 
 01/06  14:00:00,19.0,8152480.681153171,73835588.2266948,4733361.313484477,47226240.641516748,3923325.1539192779,42908306.83380111 
 01/06  15:00:00,18.416666666666669,7713886.2036296329,63369680.23417844,5181556.546221699,43958197.21387753,4535658.933200815,41640399.11502198 
 01/06  16:00:00,17.416666666666669,7872337.646840212,49984917.001217078,5851911.120907756,36937392.91018574,4530107.176025165,32396336.986527128 
 01/06  17:00:00,15.833333333333334,8365944.376353089,28552153.50360529,4903276.759582295,18309454.48975156,3847908.597322135,16065531.472678852 
 01/06  18:00:00,11.5,11984322.192531459,0.0,3831650.3294931326,0.0,3945798.823687948,0.0 
 01/06  19:00:00,9.583333333333334,3501949.92112354,0.0,6347403.822426703,0.0,7487276.773403361,0.0 
 01/06  20:00:00,9.416666666666666,4270065.782124561,0.0,7128826.097978375,0.0,9106980.222644857,0.0 
 01/06  21:00:00,9.0,6406615.527585372,0.0,8630861.513146537,0.0,11207079.917650614,0.0 
 01/06  22:00:00,9.583333333333334,5668595.135224882,0.0,6992641.609809517,0.0,9987084.776922726,0.0 
 01/06  23:00:00,7.083333333333333,0.0,0.0,0.0,0.0,0.0,0.0 
 01/06  24:00:00,6.166666666666667,0.0,0.0,0.0,0.0,0.0,0.0 
 01/07  01:00:00,6.416666666666667,0.0,0.0,0.0,0.0,0.0,0.0 
 01/07  02:00:00,4.833333333333333,0.0,0.0,0.0,0.0,0.0,0.0 
