Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 04/02  03:00:00,46359235.70955593,46359235.709555927,6791184.0 
 04/02  04:00:00,46359235.70955593,46359235.709555927,6791184.0 
 04/02  05:00:00,46359235.70955593,46359235.709555927,6791184.0 
 04/02  06:00:00,61434844.02385022,61434844.02385021,6791184.0 
 04/02  07:00:00,51619015.17877258,51619015.17877259,6791184.0 
 04/02  08:00:00,51234245.552389647,51234245.552389647,6791184.0 
 04/02  09:00:00,56314109.34378138,56314109.34378138,6791184.0 
 04/02  10:00:00,57917463.543544087,57917463.54354408,6791184.0 
 04/02  11:00:00,51225215.94133289,51225215.94133289,6791184.0 
 04/02  12:00:00,51225215.94133289,51225215.94133289,6791184.0 
 04/02  13:00:00,51225215.94133289,51225215.94133289,6791184.0 
 04/02  14:00:00,51225215.94133289,51225215.94133289,6791184.0 
 04/02  15:00:00,69361342.16077999,69361342.16077999,6791184.0 
 04/02  16:00:00,90197685.47048927,90197685.47048927,6791184.0 
 04/02  17:00:00,77778115.564028,77778115.564028,6791184.0 
 04/02  18:00:00,39103063.90073409,39103063.90073409,6791184.0 
 04/02  19:00:00,48904615.70955593,48904615.70955593,6791184.0 
 04/02  20:00:00,48904615.70955593,48904615.70955593,6791184.0 
 04/02  21:00:00,48904615.70955593,48904615.70955593,6791184.0 
 04/02  22:00:00,48904615.70955593,48904615.70955593,6791184.0 
 04/02  23:00:00,48904615.70955593,48904615.70955593,6791184.0 
 04/02  24:00:00,46359235.70955593,46359235.709555927,6791184.0 
 04/03  01:00:00,57609860.1137362,57609860.1137362,6791184.0 
 04/03  02:00:00,57609860.1137362,57609860.1137362,6791184.0 
 04/03  03:00:00,57609860.1137362,57609860.1137362,6791184.0 
 04/03  04:00:00,57609860.1137362,57609860.1137362,6791184.0 
 04/03  05:00:00,57609860.1137362,57609860.1137362,6791184.0 
 04/03  06:00:00,94284564.47186926,94284564.47186926,7514077.946453841 
 04/03  07:00:00,180771335.62495614,180771335.62495614,7128609.320955224 
 04/03  08:00:00,395621845.4092676,395621845.4092676,6791184.0 
 04/03  09:00:00,393596319.8217259,393596319.8217258,6791184.0 
 04/03  10:00:00,404935010.0321887,404935010.03218868,6791184.0 
 04/03  11:00:00,423293979.1294845,423293979.1294844,11360457.287873175 
 04/03  12:00:00,422206590.1639627,422206590.1639627,25763714.050166169 
 04/03  13:00:00,433882261.42227056,433882261.42227056,20856727.49762917 
 04/03  14:00:00,422591127.23360708,422591127.23360708,15564137.778803904 
 04/03  15:00:00,423690272.9391016,423690272.93910148,15493782.086186186 
 04/03  16:00:00,436755554.3161869,436755554.31618687,20335432.154282519 
 04/03  17:00:00,307868330.0021296,307868330.0021296,11035824.787532904 
 04/03  18:00:00,179939503.5365592,179939503.53655923,10967879.982410022 
 04/03  19:00:00,160267939.76744319,160267939.76744316,6791184.0 
 04/03  20:00:00,127677732.01325545,127677732.01325542,10920941.443589732 
 04/03  21:00:00,123033868.88553876,123033868.88553874,6791184.0 
 04/03  22:00:00,90323952.76734039,90323952.76734039,6791184.0 
 04/03  23:00:00,78718034.42393798,78718034.42393798,6791184.0 
 04/03  24:00:00,59209304.021005768,59209304.021005768,6791184.0 
