Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),PACU_VAV_BOT:Air System Total Heating Energy [J](Hourly),PACU_VAV_BOT:Air System Total Cooling Energy [J](Hourly),PACU_VAV_MID:Air System Total Heating Energy [J](Hourly),PACU_VAV_MID:Air System Total Cooling Energy [J](Hourly),PACU_VAV_TOP:Air System Total Heating Energy [J](Hourly),PACU_VAV_TOP:Air System Total Cooling Energy [J](Hourly) 
 01/03  14:00:00,17.833333333333333,6997391.673130579,55772467.152343127,4533886.344614478,38350666.16819986,4197000.182079942,36688854.69079502 
 01/03  15:00:00,17.583333333333333,6606439.221277349,50404412.69489292,4586901.203471416,36167329.48367241,4351237.853215269,35179673.26801933 
 01/03  16:00:00,17.416666666666669,6740916.8065603,48664046.49149509,4881718.146280864,35994165.68961285,4224181.3937537469,32776700.57456218 
 01/03  17:00:00,14.666666666666666,7521223.092568166,13670194.543818675,4555742.193798906,9117439.093569464,3913503.1770038048,8463467.750325544 
 01/03  18:00:00,13.0,7498725.29954467,0.0,3051404.5689611865,0.0,2983447.012054806,0.0 
 01/03  19:00:00,11.833333333333334,3544862.2875155669,0.0,3018725.678658484,0.0,2976070.31549063,0.0 
 01/03  20:00:00,11.583333333333334,3506648.3233657216,0.0,3018725.6786584847,0.0,2976070.315490632,0.0 
 01/03  21:00:00,10.833333333333334,3506648.3233657137,0.0,3018725.6786584875,0.0,3263714.5535125026,0.0 
 01/03  22:00:00,8.833333333333334,4633688.553250818,0.0,4993259.517077304,0.0,9095485.004675053,0.0 
 01/03  23:00:00,9.75,0.0,0.0,0.0,0.0,0.0,0.0 
 01/03  24:00:00,9.25,0.0,0.0,0.0,0.0,0.0,0.0 
 01/04  01:00:00,8.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/04  02:00:00,8.583333333333334,0.0,0.0,0.0,0.0,0.0,0.0 
 01/04  03:00:00,10.166666666666666,0.0,0.0,0.0,0.0,0.0,0.0 
 01/04  04:00:00,9.25,0.0,0.0,0.0,0.0,0.0,0.0 
 01/04  05:00:00,6.25,0.0,0.0,0.0,0.0,0.0,0.0 
 01/04  06:00:00,6.166666666666667,0.0,0.0,0.0,0.0,0.0,0.0 
 01/04  07:00:00,7.583333333333333,8569414.294175229,0.0,9933048.564926627,0.0,17602820.40819152,0.0 
 01/04  08:00:00,10.333333333333334,20114971.833989189,0.0,3871530.5099668914,0.0,15403249.686679654,0.0 
 01/04  09:00:00,13.166666666666666,8259407.528412546,0.0,3435249.3461543417,0.0,3027764.0283394709,0.0 
 01/04  10:00:00,15.75,6637056.883601409,24830534.822119167,4158842.7859716189,16434186.310185213,3455165.02159351,14148175.63984025 
 01/04  11:00:00,17.583333333333333,6568664.342992118,50073525.96952284,4403246.281895648,35004556.80162721,3859814.0763380278,31886019.378213198 
 01/04  12:00:00,18.583333333333333,7248380.954403639,68146349.98148413,5007891.582385013,48915905.685553979,4191400.0349401778,43596923.2175343 
 01/04  13:00:00,19.0,6608753.830896508,70197768.05516157,4380073.220862473,48782470.45000448,4286394.9186336309,48414818.95376778 
 01/04  14:00:00,19.583333333333333,8188955.087015011,89247180.37574627,5532670.700556777,63527562.246435578,4710863.6432714839,57876751.503534588 
 01/04  15:00:00,19.416666666666669,7819615.629630787,84305141.4902371,5929920.460438911,64203327.31295346,5394873.22656511,61293746.00011645 
 01/04  16:00:00,18.416666666666669,8052701.129476039,70112742.2413116,6320230.236870857,54619370.28125204,5483527.827258108,50663265.148914027 
 01/04  17:00:00,16.833333333333333,8650677.984883462,47270233.485971499,5716640.971605457,33252808.65307415,4923581.899383459,30646855.725423088 
 01/04  18:00:00,15.416666666666666,6787698.846927963,20651065.678656099,3186682.3747313905,11805462.591073867,3061218.2776164717,11553536.451586752 
 01/04  19:00:00,14.416666666666666,3771349.40480702,3952138.8049367715,3018725.678658492,3114232.087436106,2976070.315490639,3106824.681223697 
 01/04  20:00:00,11.666666666666666,3518484.0888320577,0.0,3018725.678658484,0.0,2976070.3154906325,0.0 
 01/04  21:00:00,10.583333333333334,3506648.323365707,0.0,3018725.6786584805,0.0,2976070.3154906325,0.0 
 01/04  22:00:00,10.416666666666666,3506648.323365723,0.0,3018725.6786584847,0.0,3178845.3870821909,0.0 
 01/04  23:00:00,11.166666666666666,0.0,0.0,0.0,0.0,0.0,0.0 
 01/04  24:00:00,9.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0 
 01/05  01:00:00,8.583333333333334,0.0,0.0,0.0,0.0,0.0,0.0 
 01/05  02:00:00,7.833333333333333,0.0,0.0,0.0,0.0,0.0,0.0 
 01/05  03:00:00,6.416666666666667,0.0,0.0,0.0,0.0,0.0,0.0 
 01/05  04:00:00,6.583333333333333,0.0,0.0,0.0,0.0,0.0,0.0 
 01/05  05:00:00,7.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/05  06:00:00,7.583333333333333,0.0,0.0,0.0,0.0,0.0,0.0 
 01/05  07:00:00,6.25,8550411.83811432,266413.8031772972,12964578.372127675,0.0,20548327.478655489,0.0 
 01/05  08:00:00,7.333333333333333,21262866.51032251,233805.61142937517,9838652.471333804,0.0,22413131.30674208,0.0 
 01/05  09:00:00,11.333333333333334,10171490.114401048,0.0,3758539.7565765685,0.0,4337603.355953992,0.0 
 01/05  10:00:00,14.75,7723610.183763826,13194913.665107813,5031286.359533686,9108948.33238112,3547921.0521161167,6950490.801604575 
 01/05  11:00:00,16.583333333333333,7579479.799157357,39725011.904942598,5219367.773841886,28410121.15481562,3979264.2993696054,23533559.181146556 
 01/05  12:00:00,17.525000000000003,8348228.434688271,57379097.444698069,5781843.284525212,41380904.02474434,4456456.923296848,35181746.93834217 
 01/05  13:00:00,17.958333333333333,7242913.146627067,59083966.26713225,4957804.023111373,42356402.68367692,4470328.562097562,40897811.66667104 
 01/05  14:00:00,17.416666666666669,9726882.480288702,61420108.364710498,6574184.915593205,43918067.949470859,5740728.324203784,42187473.348769869 
 01/05  15:00:00,16.591666666666666,9350646.69499074,50141405.1708636,7117991.040173236,37904787.64131437,6478968.521202121,37097506.16859471 
 01/05  16:00:00,15.483333333333335,9698758.955261145,34003946.71034668,7825201.455593285,26679068.1713609,6573655.695242619,24655567.569277377 
 01/05  17:00:00,13.791666666666666,10613187.023683345,4491911.687422026,7197153.968906906,3203615.26876414,5905724.824066366,2715602.4803431818 
 01/05  18:00:00,12.416666666666666,8296175.633640766,0.0,3510274.8475998758,0.0,3107832.4692407806,0.0 
 01/05  19:00:00,11.416666666666666,4193710.391346175,0.0,3024324.566494193,0.0,2976070.3154906446,0.0 
 01/05  20:00:00,10.416666666666666,3750707.676832736,0.0,3018725.6786584847,0.0,2976070.3154906325,0.0 
 01/05  21:00:00,9.416666666666666,3610326.7815822616,0.0,3018725.6786584837,0.0,4666577.709722174,0.0 
 01/05  22:00:00,10.166666666666666,3506648.3233657239,0.0,3018725.6786584735,0.0,3753105.8116019337,0.0 
 01/05  23:00:00,9.833333333333334,0.0,0.0,0.0,0.0,0.0,0.0 
 01/05  24:00:00,7.25,0.0,0.0,0.0,0.0,0.0,0.0 
 01/06  01:00:00,6.583333333333333,0.0,0.0,0.0,0.0,0.0,0.0 
 01/06  02:00:00,7.583333333333333,0.0,0.0,0.0,0.0,0.0,0.0 
 01/06  03:00:00,8.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/06  04:00:00,10.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0 
 01/06  05:00:00,9.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0 
 01/06  06:00:00,8.583333333333334,0.0,0.0,0.0,0.0,0.0,0.0 
 01/06  07:00:00,9.0,3629916.209199342,0.0,3115729.74941171,0.0,10842297.495837596,0.0 
 01/06  08:00:00,9.0,20629233.736481254,0.0,3809402.7868288618,0.0,12721091.849897646,0.0 
