Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),PACU_VAV_BOT:Air System Total Heating Energy [J](Hourly),PACU_VAV_BOT:Air System Total Cooling Energy [J](Hourly),PACU_VAV_MID:Air System Total Heating Energy [J](Hourly),PACU_VAV_MID:Air System Total Cooling Energy [J](Hourly),PACU_VAV_TOP:Air System Total Heating Energy [J](Hourly),PACU_VAV_TOP:Air System Total Cooling Energy [J](Hourly) 
 01/03  07:00:00,3.8333333333333337,18998075.46268201,0.0,28171687.081564987,0.0,52334311.70173838,0.0 
 01/03  08:00:00,5.333333333333333,39618572.646053809,0.0,31913370.39282337,0.0,62159323.15481891,0.0 
 01/03  09:00:00,9.333333333333334,7935915.082091101,0.0,10149831.192965184,0.0,17607705.24092972,0.0 
 01/03  10:00:00,12.166666666666666,4661543.255363114,0.0,2871771.1510538544,0.0,3285918.9590284496,0.0 
 01/03  11:00:00,14.166666666666666,4473080.064462973,3417513.864730275,3003709.954777883,2365332.901854475,2859530.92511914,2345534.4335742217 
 01/03  12:00:00,16.75,4981796.420872946,30200553.895040174,3568358.246084896,21711900.047784456,3188577.843777018,20394895.625286368 
 01/03  13:00:00,18.583333333333333,4576217.696530449,47448175.3708857,3342710.944277361,34565436.131789948,3323082.003751002,34919163.3063532 
 01/03  14:00:00,17.833333333333333,5790297.613514643,46446030.21157909,3782621.459484973,31556779.53529433,3496942.6051722976,30479539.63830226 
 01/03  15:00:00,17.583333333333333,5308469.638174654,41199783.64922305,3586209.2516151645,28443103.718180468,3540038.987369231,28716942.45420004 
 01/03  16:00:00,17.416666666666669,5384897.307159616,39601508.88079651,3685969.9603050278,27696069.66561918,3388498.17856838,26545084.37762017 
 01/03  17:00:00,14.666666666666666,5937992.632348018,11093755.834167632,3003825.2693327956,6646385.202558353,2816816.942800733,6556707.809323766 
 01/03  18:00:00,13.0,8187923.778593013,0.0,2430481.2814911485,0.0,2441675.2704405749,0.0 
 01/03  19:00:00,11.833333333333334,2954901.683968652,0.0,2430481.2814911559,0.0,2626184.8534081114,0.0 
 01/03  20:00:00,11.583333333333334,2954901.683968658,0.0,2430481.2814911555,0.0,2539097.3725634666,0.0 
 01/03  21:00:00,10.833333333333334,3708283.0535127494,0.0,4046052.9391746029,0.0,6150597.5534344329,0.0 
 01/03  22:00:00,8.833333333333334,9678857.853466057,0.0,10877139.428874355,0.0,15455953.347840064,0.0 
 01/03  23:00:00,9.75,0.0,0.0,0.0,0.0,0.0,0.0 
 01/03  24:00:00,9.25,0.0,0.0,0.0,0.0,0.0,0.0 
 01/04  01:00:00,8.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/04  02:00:00,8.583333333333334,0.0,0.0,0.0,0.0,0.0,0.0 
 01/04  03:00:00,10.166666666666666,0.0,0.0,0.0,0.0,0.0,0.0 
 01/04  04:00:00,9.25,0.0,0.0,0.0,0.0,0.0,0.0 
 01/04  05:00:00,6.25,0.0,0.0,0.0,0.0,0.0,0.0 
 01/04  06:00:00,6.166666666666667,0.0,0.0,0.0,0.0,0.0,0.0 
 01/04  07:00:00,7.583333333333333,14002570.819279332,0.0,15405960.821501414,0.0,24561402.268776318,0.0 
 01/04  08:00:00,10.333333333333334,18766634.213354589,390635.298860253,6907589.738216937,0.0,21997815.17809924,0.0 
 01/04  09:00:00,13.166666666666666,7021768.326139381,0.0,2689479.0848926038,0.0,2520939.2116394,0.0 
 01/04  10:00:00,15.75,5280215.703280104,20113531.3764366,3289196.6311906136,13022598.18761064,2721966.562620501,11230938.835231942 
 01/04  11:00:00,17.583333333333333,5226302.37551516,40615210.44419099,3388095.35433715,27214164.162512699,3105176.5506089406,25767481.507847214 
 01/04  12:00:00,18.583333333333333,5905414.084906903,56241172.18845238,3802822.873984745,37771373.29050393,3475600.1291848376,36096700.82737457 
 01/04  13:00:00,19.0,5284219.737341389,57172224.94040057,3540756.8564943915,39302042.125741649,3579417.369433037,40285749.008062858 
