Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 07/13  24:00:00,57996196.7332391,57996196.7332391,6791184.0 
 07/14  01:00:00,57609860.1137362,57609860.1137362,6791184.0 
 07/14  02:00:00,57609860.1137362,57609860.1137362,6791184.0 
 07/14  03:00:00,57609860.1137362,57609860.1137362,6791184.0 
 07/14  04:00:00,57609860.1137362,57609860.1137362,6791184.0 
 07/14  05:00:00,56194670.1137362,56194670.1137362,6791184.0 
 07/14  06:00:00,99366683.3437489,99366683.3437489,6791184.0 
 07/14  07:00:00,168336108.42240728,168336108.42240728,6791184.0 
 07/14  08:00:00,361425407.0770122,361425407.0770121,6791184.0 
 07/14  09:00:00,353194357.6926918,353194357.6926917,6791184.0 
 07/14  10:00:00,361984149.757698,361984149.757698,6791184.0 
 07/14  11:00:00,378350258.8543215,378350258.8543215,6791184.0 
 07/14  12:00:00,381828789.257839,381828789.25783899,25439349.972078057 
 07/14  13:00:00,404935307.94547936,404935307.94547936,20659186.620259059 
 07/14  14:00:00,383738743.2938504,383738743.2938503,15489455.155041025 
 07/14  15:00:00,388953925.6166447,388953925.6166446,15417333.353843449 
 07/14  16:00:00,407245922.47401997,407245922.4740198,15733613.390422378 
 07/14  17:00:00,294667557.24601039,294667557.2460103,15251222.653092144 
 07/14  18:00:00,166139043.414401,166139043.414401,6791184.0 
 07/14  19:00:00,153463292.33736236,153463292.33736236,6791184.0 
 07/14  20:00:00,144930776.40431974,144930776.40431977,6791184.0 
 07/14  21:00:00,137270356.36480589,137270356.36480589,6791184.0 
 07/14  22:00:00,77772390.65670999,77772390.65670999,6791184.0 
 07/14  23:00:00,72442274.24247962,72442274.24247962,6791184.0 
 07/14  24:00:00,57996196.7332391,57996196.7332391,6791184.0 
 07/15  01:00:00,46359235.70955593,46359235.709555927,6791184.0 
 07/15  02:00:00,46359235.70955593,46359235.709555927,6791184.0 
 07/15  03:00:00,46359235.70955593,46359235.709555927,6791184.0 
 07/15  04:00:00,46359235.70955593,46359235.709555927,6791184.0 
 07/15  05:00:00,44944045.70955593,44944045.709555927,6791184.0 
 07/15  06:00:00,105269163.5354915,105269163.5354915,6791184.0 
 07/15  07:00:00,129816405.48824615,129816405.48824615,6791184.0 
 07/15  08:00:00,168365910.66369815,168365910.66369809,6791184.0 
 07/15  09:00:00,188539902.80158273,188539902.80158273,6791184.0 
 07/15  10:00:00,187011394.28871126,187011394.2887112,6791184.0 
 07/15  11:00:00,199928847.85046695,199928847.8504669,6791184.0 
 07/15  12:00:00,159347361.67779506,159347361.67779506,6791184.0 
 07/15  13:00:00,149307875.6452672,149307875.64526717,6791184.0 
 07/15  14:00:00,145782654.40604226,145782654.40604226,6791184.0 
 07/15  15:00:00,138509664.1218606,138509664.1218606,6791184.0 
 07/15  16:00:00,138856160.35272859,138856160.35272859,6791184.0 
 07/15  17:00:00,114599372.56253098,114599372.56253097,6791184.0 
 07/15  18:00:00,82864811.67603746,82864811.67603746,6791184.0 
 07/15  19:00:00,57526887.06614648,57526887.06614648,6791184.0 
 07/15  20:00:00,48904615.70955593,48904615.70955593,6791184.0 
 07/15  21:00:00,48904615.70955593,48904615.70955593,6791184.0 
 07/15  22:00:00,48904615.70955593,48904615.70955593,6791184.0 
 07/15  23:00:00,48904615.70955593,48904615.70955593,6791184.0 
 07/15  24:00:00,46359235.70955593,46359235.709555927,6791184.0 
 07/16  01:00:00,46359235.70955593,46359235.709555927,6791184.0 
 07/16  02:00:00,46359235.70955593,46359235.709555927,6791184.0 
 07/16  03:00:00,46359235.70955593,46359235.709555927,6791184.0 
 07/16  04:00:00,46359235.70955593,46359235.709555927,6791184.0 
 07/16  05:00:00,44944045.70955593,44944045.709555927,6791184.0 
 07/16  06:00:00,46688095.88924389,46688095.889243889,6791184.0 
 07/16  07:00:00,46305701.73902419,46305701.739024188,6791184.0 
 07/16  08:00:00,69473299.90214393,69473299.90214393,6791184.0 
 07/16  09:00:00,80143206.48469359,80143206.48469359,6791184.0 
 07/16  10:00:00,87333881.61839971,87333881.61839971,6791184.0 
 07/16  11:00:00,66000938.51504603,66000938.51504603,6791184.0 
 07/16  12:00:00,46288812.51597283,46288812.51597283,6791184.0 
 07/16  13:00:00,46288812.51597283,46288812.51597283,6791184.0 
 07/16  14:00:00,49551588.75220433,49551588.75220433,6791184.0 
 07/16  15:00:00,86923672.68470581,86923672.68470581,6791184.0 
 07/16  16:00:00,84959544.84516898,84959544.84516901,6791184.0 
 07/16  17:00:00,91646423.27868325,91646423.27868325,6791184.0 
 07/16  18:00:00,71408346.97920878,71408346.97920878,6791184.0 
 07/16  19:00:00,57975285.638724599,57975285.63872458,6791184.0 
 07/16  20:00:00,48904615.70955593,48904615.70955593,6791184.0 
 07/16  21:00:00,48904615.70955593,48904615.70955593,6791184.0 
 07/16  22:00:00,48904615.70955593,48904615.70955593,6791184.0 
 07/16  23:00:00,48904615.70955593,48904615.70955593,6791184.0 
 07/16  24:00:00,46359235.70955593,46359235.709555927,6791184.0 
 07/17  01:00:00,57609860.1137362,57609860.1137362,6791184.0 
 07/17  02:00:00,57609860.1137362,57609860.1137362,6791184.0 
 07/17  03:00:00,57609860.1137362,57609860.1137362,6791184.0 
 07/17  04:00:00,57609860.1137362,57609860.1137362,6791184.0 
 07/17  05:00:00,56194670.1137362,56194670.1137362,6791184.0 
 07/17  06:00:00,88402638.65420878,88402638.6542088,6791184.0 
 07/17  07:00:00,151323911.32664956,151323911.32664956,6791184.0 
 07/17  08:00:00,339106865.97297939,339106865.97297939,6791184.0 
 07/17  09:00:00,330563762.4572494,330563762.4572494,6791184.0 
 07/17  10:00:00,348211739.68902757,348211739.6890275,6791184.0 
 07/17  11:00:00,377339696.7822681,377339696.78226807,6791184.0 
 07/17  12:00:00,375210839.89098158,375210839.8909815,20799005.9270893 
 07/17  13:00:00,399581878.6375267,399581878.63752666,25141976.514152226 
 07/17  14:00:00,390829085.6041758,390829085.6041758,11229366.760825694 
 07/17  15:00:00,400004063.64282366,400004063.64282366,15398756.868578954 
 07/17  16:00:00,427377087.8075684,427377087.8075683,20188529.689782725 
 07/17  17:00:00,322022335.7491437,322022335.7491437,11004738.594840985 
