Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),PACU_VAV_BOT:Air System Total Heating Energy [J](Hourly),PACU_VAV_BOT:Air System Total Cooling Energy [J](Hourly),PACU_VAV_MID:Air System Total Heating Energy [J](Hourly),PACU_VAV_MID:Air System Total Cooling Energy [J](Hourly),PACU_VAV_TOP:Air System Total Heating Energy [J](Hourly),PACU_VAV_TOP:Air System Total Cooling Energy [J](Hourly) 
 01/03  14:00:00,17.833333333333333,5299313.437481215,42717961.0769904,3495256.1940945379,28919211.35885687,3240698.6451565006,28213547.671348894 
 01/03  15:00:00,17.583333333333333,4787707.665570137,37536175.88684752,3288627.795183953,25960193.31583649,3241259.7373589829,26359031.82857759 
 01/03  16:00:00,17.416666666666669,4830481.341508181,35952711.25277077,3355241.5297453759,25133620.1549735,3084015.0574781575,24280803.245315274 
 01/03  17:00:00,14.666666666666666,5331665.982387687,10060353.288456642,2664829.6905617516,5988206.089295584,2538446.9599774919,5975212.04998922 
 01/03  18:00:00,13.0,8673479.665891454,0.0,2211670.6703003386,0.0,2244263.3747711658,0.0 
 01/03  19:00:00,11.833333333333334,2964058.3296497894,0.0,3617803.366365108,0.0,3832415.722572678,0.0 
 01/03  20:00:00,11.583333333333334,2887577.8991594135,0.0,4072212.3114051895,0.0,5695015.768886569,0.0 
 01/03  21:00:00,10.833333333333334,5281438.800130362,0.0,7400900.709226005,0.0,10473298.369225875,0.0 
 01/03  22:00:00,8.833333333333334,12528719.463132179,0.0,14770074.801329624,0.0,20584960.199230479,0.0 
 01/03  23:00:00,9.75,0.0,0.0,0.0,0.0,0.0,0.0 
 01/03  24:00:00,9.25,0.0,0.0,0.0,0.0,0.0,0.0 
 01/04  01:00:00,8.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/04  02:00:00,8.583333333333334,0.0,0.0,0.0,0.0,0.0,0.0 
 01/04  03:00:00,10.166666666666666,0.0,0.0,0.0,0.0,0.0,0.0 
 01/04  04:00:00,9.25,0.0,0.0,0.0,0.0,0.0,0.0 
 01/04  05:00:00,6.25,0.0,0.0,0.0,0.0,0.0,0.0 
 01/04  06:00:00,6.166666666666667,0.0,0.0,0.0,0.0,0.0,0.0 
 01/04  07:00:00,7.583333333333333,16740739.217267739,0.0,19205836.98533503,0.0,30723919.723446929,0.0 
 01/04  08:00:00,10.333333333333334,21199926.56175194,0.0,11249134.03517938,0.0,26889486.618457255,0.0 
 01/04  09:00:00,13.166666666666666,6511605.174869615,0.0,2399243.127340417,0.0,3182559.2172843988,0.0 
 01/04  10:00:00,15.75,4715900.803253192,18166320.988378545,2948704.3488163927,11709841.472887753,2432731.662009189,10084531.04287747 
 01/04  11:00:00,17.583333333333333,4684212.136880236,36841472.48143066,3073293.898359203,24657021.566670363,2829157.397332561,23533983.271104486 
 01/04  12:00:00,18.583333333333333,5363431.806168759,51546792.63827141,3525727.177001899,34707006.710686299,3203298.2947857195,33294524.045036436 
 01/04  13:00:00,19.0,4751623.18048556,52059239.01075512,3230148.9279152706,35761663.86925464,3312805.684599002,37276188.6944988 
 01/04  14:00:00,19.583333333333333,6167393.857389519,68367316.69207388,3571913.651380018,42719508.23012379,3447228.2989330028,42861763.09406781 
 01/04  15:00:00,19.416666666666669,5654043.037831072,62985515.44968559,3631670.033977947,41869196.10637154,3559418.21925759,42525577.68846936 
 01/04  16:00:00,18.416666666666669,5785881.253579331,52186898.195627119,3771348.7587934045,35125385.393702398,3389761.252330982,33559743.825569767 
