Program Version:,EnergyPlus, Version 9.0.1-bb7ca4f0da, YMD=2022.04.26 19:50
Tabular Output Report in Format: ,Comma

Building:,OfficeMedium
Environment:,RUNPERIOD 1 ** San Diego-Brown Field Muni AP CA USA TMY3 WMO#=722904

----------------------------------------------------------------------------------------------------
REPORT:,Annual Building Utility Performance Summary
FOR:,Entire Facility
Values gathered over      8760.00 hours

Site and Source Energy

,,Total Energy [kWh],Energy Per Total Building Area [kWh/m2],Energy Per Conditioned Building Area [kWh/m2]
,Total Site Energy,357014.52,71.66,71.66
,Net Site Energy,357014.52,71.66,71.66
,Total Source Energy,1078666.44,216.50,216.50
,Net Source Energy,1078666.44,216.50,216.50


Site to Source Energy Conversion Factors

,,Site=>Source Conversion Factor
,Electricity,3.167
,Natural Gas,1.084
,District Cooling,1.056
,District Heating,3.613
,Steam,0.300
,Gasoline,1.050
,Diesel,1.050
,Coal,1.050
,Fuel Oil #1,1.050
,Fuel Oil #2,1.050
,Propane,1.050
,Other Fuel 1,1.000
,Other Fuel 2,1.000


Building Area

,,Area [m2]
,Total Building Area,4982.19
,Net Conditioned Building Area,4982.19
,Unconditioned Building Area,0.00


End Uses

,,Electricity [kWh],Natural Gas [kWh],Additional Fuel [kWh],District Cooling [kWh],District Heating [kWh],Water [m3]
,Heating,867.04,3064.68,0.00,0.00,0.00,0.00
,Cooling,49825.90,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,40951.51,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,12834.11,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,208352.72,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,3221.97,0.00,0.00,0.00,0.00,0.00
,Fans,15957.26,0.00,0.00,0.00,0.00,0.00
,Pumps,40.71,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,0.00,21898.62,0.00,0.00,0.00,271.06
,Refrigeration,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,
,Total End Uses,332051.22,24963.29,0.00,0.00,0.00,271.06
Note: Natural gas appears to be the principal heating source based on energy usage.


End Uses By Subcategory

,,Subcategory,Electricity [kWh],Natural Gas [kWh],Additional Fuel [kWh],District Cooling [kWh],District Heating [kWh],Water [m3]
,Heating,General,867.04,3064.68,0.00,0.00,0.00,0.00
,Cooling,General,49825.90,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,LightsWired,40951.51,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,General,12834.11,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,MiscPlug,162411.23,0.00,0.00,0.00,0.00,0.00
,,ElevatorLift,45763.34,0.00,0.00,0.00,0.00,0.00
,,ElevatorLightsFan,178.15,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,Transformer,3221.97,0.00,0.00,0.00,0.00,0.00
,Fans,General,15957.26,0.00,0.00,0.00,0.00,0.00
,Pumps,General,40.71,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,General,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,General,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,General,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,Water Heater,0.00,21898.62,0.00,0.00,0.00,0.00
,,WaterUse,0.00,0.00,0.00,0.00,0.00,271.06
,Refrigeration,General,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,General,0.00,0.00,0.00,0.00,0.00,0.00


Normalized Metrics
Utility Use Per Conditioned Floor Area

,,Electricity Intensity [kWh/m2],Natural Gas Intensity [kWh/m2],Additional Fuel Intensity [kWh/m2],District Cooling Intensity [kWh/m2],District Heating Intensity [kWh/m2],Water Intensity [m3/m2]
,Lighting,10.80,0.00,0.00,0.00,0.00,0.00
,HVAC,13.39,5.01,0.00,0.00,0.00,0.05
,Other,42.47,0.00,0.00,0.00,0.00,0.00
,Total,66.65,5.01,0.00,0.00,0.00,0.05


Utility Use Per Total Floor Area

,,Electricity Intensity [kWh/m2],Natural Gas Intensity [kWh/m2],Additional Fuel Intensity [kWh/m2],District Cooling Intensity [kWh/m2],District Heating Intensity [kWh/m2],Water Intensity [m3/m2]
,Lighting,10.80,0.00,0.00,0.00,0.00,0.00
,HVAC,13.39,5.01,0.00,0.00,0.00,0.05
,Other,42.47,0.00,0.00,0.00,0.00,0.00
,Total,66.65,5.01,0.00,0.00,0.00,0.05


Electric Loads Satisfied

,,Electricity [kWh],Percent Electricity [%]
,Fuel-Fired Power Generation,0.000,0.00
,High Temperature Geothermal*,0.000,0.00
,Photovoltaic Power,0.000,0.00
,Wind Power,0.000,0.00
,Power Conversion,0.000,0.00
,Net Decrease in On-Site Storage,0.000,0.00
,Total On-Site Electric Sources,0.000,0.00
,,,
,Electricity Coming From Utility,332051.225,100.00
,Surplus Electricity Going To Utility,0.000,0.00
,Net Electricity From Utility,332051.225,100.00
,,,
