Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 03/22  11:00:00,290814393.1568768,290814393.15687677,11362773.369539064 
 03/22  12:00:00,298570001.18358287,298570001.18358287,25759885.29491344 
 03/22  13:00:00,322258659.9117136,322258659.9117136,25588771.673512255 
 03/22  14:00:00,306902178.61542519,306902178.61542519,15505181.57355085 
 03/22  15:00:00,302315786.0254687,302315786.0254687,15475473.133336738 
 03/22  16:00:00,308835372.92767229,308835372.92767217,20351646.172901229 
 03/22  17:00:00,227929474.69120444,227929474.6912044,11035885.161655732 
 03/22  18:00:00,127342111.06380768,127342111.06380767,10974973.939735523 
 03/22  19:00:00,102331472.27098182,102331472.2709818,6791184.0 
 03/22  20:00:00,91339228.3593955,91339228.3593955,10908749.821757922 
 03/22  21:00:00,86696647.35408427,86696647.35408427,6791184.0 
 03/22  22:00:00,73301957.30496589,73301957.3049659,6791184.0 
 03/22  23:00:00,70207061.25759147,70207061.25759147,6791184.0 
 03/22  24:00:00,57335709.94418401,57335709.94418401,6791184.0 
 03/23  01:00:00,57335738.170472148,57335738.170472148,6791184.0 
 03/23  02:00:00,57335738.170472148,57335738.170472148,6791184.0 
 03/23  03:00:00,57335738.170472148,57335738.170472148,6791184.0 
 03/23  04:00:00,57335738.170472148,57335738.170472148,6791184.0 
 03/23  05:00:00,58162225.08261116,58162225.08261116,6791184.0 
 03/23  06:00:00,85059017.78502907,85059017.78502907,33515264.83922659 
 03/23  07:00:00,135347080.0315764,135347080.0315764,15714361.053263205 
 03/23  08:00:00,282962806.41496989,282962806.4149698,6791184.0 
 03/23  09:00:00,273783740.86982819,273783740.8698281,6791184.0 
 03/23  10:00:00,281026408.46773567,281026408.46773567,6791184.0 
 03/23  11:00:00,302876872.8058152,302876872.80581519,11366694.880142019 
 03/23  12:00:00,301046797.7712169,301046797.77121689,25769270.472925649 
 03/23  13:00:00,319703626.69108429,319703626.69108429,25575260.63220924 
 03/23  14:00:00,315997333.2924968,315997333.2924968,15535535.112064267 
 03/23  15:00:00,327084475.7062166,327084475.7062165,15507171.970183319 
 03/23  16:00:00,339218389.0894343,339218389.0894342,20359873.31142087 
 03/23  17:00:00,239053718.7358669,239053718.7358668,11039527.932789887 
 03/23  18:00:00,131420867.41146925,131420867.41146925,10976672.91348055 
 03/23  19:00:00,108436144.7652507,108436144.76525069,6791184.0 
 03/23  20:00:00,91339668.23010798,91339668.23010798,6791184.0 
 03/23  21:00:00,86696647.35408427,86696647.35408427,6791184.0 
 03/23  22:00:00,73301957.30496589,73301957.3049659,6791184.0 
 03/23  23:00:00,70207061.25759147,70207061.25759147,6791184.0 
 03/23  24:00:00,57335709.94418401,57335709.94418401,6791184.0 
 03/24  01:00:00,57335738.170472148,57335738.170472148,6791184.0 
 03/24  02:00:00,57335738.170472148,57335738.170472148,6791184.0 
 03/24  03:00:00,57335738.170472148,57335738.170472148,6791184.0 
 03/24  04:00:00,57335738.170472148,57335738.170472148,6791184.0 
 03/24  05:00:00,58162225.08261116,58162225.08261116,6791184.0 
 03/24  06:00:00,84898497.35948302,84898497.35948302,6791184.0 
 03/24  07:00:00,133340599.51416527,133340599.51416528,6791184.0 
 03/24  08:00:00,266416927.58603794,266416927.58603788,6791184.0 
 03/24  09:00:00,233881704.7707942,233881704.7707942,6791184.0 
 03/24  10:00:00,249092576.98470623,249092576.98470623,6791184.0 
 03/24  11:00:00,280781891.49841877,280781891.4984187,15940877.32123674 
 03/24  12:00:00,290345104.15333357,290345104.1533335,25790047.27996694 
 03/24  13:00:00,306261863.87714609,306261863.87714609,20878756.324931425 
 03/24  14:00:00,292232923.9445644,292232923.9445644,15572122.102893196 
 03/24  15:00:00,292768602.0673423,292768602.0673423,15481378.858383317 
 03/24  16:00:00,300236555.6340867,300236555.6340867,20336343.962243163 
 03/24  17:00:00,214353661.11122293,214353661.11122287,15295677.731996865 
 03/24  18:00:00,103966634.25821875,103966634.25821877,6791184.0 
 03/24  19:00:00,97653062.76480684,97653062.76480682,6791184.0 
 03/24  20:00:00,91364506.41965477,91364506.41965477,10913393.746848077 
 03/24  21:00:00,86696647.35408427,86696647.35408427,6791184.0 
 03/24  22:00:00,73301957.30496589,73301957.3049659,6791184.0 
 03/24  23:00:00,70207061.25759147,70207061.25759147,6791184.0 
 03/24  24:00:00,57335709.94418401,57335709.94418401,6791184.0 
 03/25  01:00:00,46085139.19145743,46085139.19145743,6791184.0 
 03/25  02:00:00,46085139.19145743,46085139.19145743,6791184.0 
 03/25  03:00:00,46085139.19145743,46085139.19145743,6791184.0 
 03/25  04:00:00,46085139.19145743,46085139.19145743,6791184.0 
 03/25  05:00:00,46085139.19145743,46085139.19145743,6791184.0 
 03/25  06:00:00,85193639.44799076,85193639.44799076,6791184.0 
 03/25  07:00:00,87676235.9183688,87676235.91836879,6791184.0 
 03/25  08:00:00,108541720.56385567,108541720.56385567,6791184.0 
 03/25  09:00:00,124852698.17238954,124852698.17238958,6791184.0 
 03/25  10:00:00,126269822.92850076,126269822.92850074,6791184.0 
 03/25  11:00:00,127791192.45784146,127791192.4578415,6791184.0 
 03/25  12:00:00,88094537.49660903,88094537.49660905,6791184.0 
 03/25  13:00:00,78685562.46307475,78685562.46307473,6791184.0 
 03/25  14:00:00,72776911.33959833,72776911.33959835,6791184.0 
 03/25  15:00:00,68401558.34685748,68401558.34685748,8420087.537664175 
 03/25  16:00:00,69641099.10781898,69641099.10781898,14857806.804673624 
 03/25  17:00:00,58946920.23458621,58946920.23458621,15484642.181165314 
 03/25  18:00:00,48303439.73601554,48303439.73601554,6791184.0 
 03/25  19:00:00,48630498.601663317,48630498.60166331,6791184.0 
 03/25  20:00:00,48630519.19145743,48630519.19145743,6791184.0 
 03/25  21:00:00,48630519.19145743,48630519.19145743,6791184.0 
 03/25  22:00:00,48630519.19145743,48630519.19145743,6791184.0 
 03/25  23:00:00,48630519.19145743,48630519.19145743,6791184.0 
 03/25  24:00:00,46085139.19145743,46085139.19145743,6791184.0 
 03/26  01:00:00,46085139.19145743,46085139.19145743,6791184.0 
 03/26  02:00:00,46085139.19145743,46085139.19145743,6791184.0 
 03/26  03:00:00,46085139.19145743,46085139.19145743,6791184.0 
 03/26  04:00:00,46085139.19145743,46085139.19145743,6791184.0 
 03/26  05:00:00,46085139.19145743,46085139.19145743,6791184.0 
 03/26  06:00:00,57758153.85067632,57758153.85067633,6791184.0 
 03/26  07:00:00,44829107.47303271,44829107.4730327,6791184.0 
 03/26  08:00:00,44533733.47804851,44533733.4780485,6791184.0 
 03/26  09:00:00,44530631.45924014,44530631.45924014,6791184.0 
 03/26  10:00:00,44530631.45924014,44530631.45924014,6791184.0 
 03/26  11:00:00,44530631.45924014,44530631.45924014,6791184.0 
 03/26  12:00:00,44530631.45924014,44530631.45924014,6791184.0 
 03/26  13:00:00,44530631.45924014,44530631.45924014,6791184.0 
 03/26  14:00:00,44530631.45924014,44530631.45924014,6791184.0 
 03/26  15:00:00,44530631.45924014,44530631.45924014,6791184.0 
 03/26  16:00:00,44534528.607398789,44534528.60739878,6791184.0 
 03/26  17:00:00,44611465.3186493,44611465.31864929,6791184.0 
 03/26  18:00:00,40673281.94383133,40673281.94383133,6791184.0 
 03/26  19:00:00,48630519.19145743,48630519.19145743,6791184.0 
 03/26  20:00:00,48630519.19145743,48630519.19145743,6791184.0 
 03/26  21:00:00,48630519.19145743,48630519.19145743,6791184.0 
 03/26  22:00:00,48630519.19145743,48630519.19145743,6791184.0 
 03/26  23:00:00,48630519.19145743,48630519.19145743,6791184.0 
 03/26  24:00:00,46085139.19145743,46085139.19145743,6791184.0 
 03/27  01:00:00,57335738.170472148,57335738.170472148,6791184.0 
 03/27  02:00:00,57335738.170472148,57335738.170472148,6791184.0 
 03/27  03:00:00,57335738.170472148,57335738.170472148,6791184.0 
 03/27  04:00:00,57335738.170472148,57335738.170472148,6791184.0 
 03/27  05:00:00,58162225.08261116,58162225.08261116,6791184.0 
 03/27  06:00:00,81653537.49736509,81653537.49736509,19666304.08260565 
 03/27  07:00:00,137246554.97573794,137246554.97573794,12669469.250053397 
 03/27  08:00:00,264430267.57305963,264430267.57305957,6916056.492745778 
 03/27  09:00:00,230948858.01980815,230948858.01980806,6791184.0 
 03/27  10:00:00,223395313.32676617,223395313.32676614,6791184.0 
 03/27  11:00:00,231341660.1523492,231341660.1523491,11362569.725483181 
 03/27  12:00:00,243782717.9179805,243782717.9179805,25780434.235807688 
 03/27  13:00:00,241429488.25980435,241429488.2598043,20881810.9098258 
 03/27  14:00:00,229630911.40299873,229630911.40299873,17270081.39437823 
 03/27  15:00:00,225955065.65198825,225955065.65198825,13783159.474486549 
 03/27  16:00:00,235543314.72169433,235543314.72169427,20330429.545726338 
 03/27  17:00:00,188519746.9785173,188519746.97851736,15297183.198045291 
 03/27  18:00:00,98524007.04041474,98524007.04041474,6791184.0 
 03/27  19:00:00,97528109.73448248,97528109.73448248,6791184.0 
 03/27  20:00:00,91339209.2203237,91339209.2203237,10912913.457362455 
 03/27  21:00:00,86696647.35408427,86696647.35408427,6791184.0 
 03/27  22:00:00,73301957.30496589,73301957.3049659,6791184.0 
 03/27  23:00:00,70207061.25759147,70207061.25759147,6791184.0 
 03/27  24:00:00,57335709.94418401,57335709.94418401,6791184.0 
 03/28  01:00:00,57335738.170472148,57335738.170472148,6791184.0 
 03/28  02:00:00,57335738.170472148,57335738.170472148,6791184.0 
 03/28  03:00:00,57335738.170472148,57335738.170472148,6791184.0 
 03/28  04:00:00,57335738.170472148,57335738.170472148,6791184.0 
 03/28  05:00:00,58162225.08261116,58162225.08261116,6791184.0 
 03/28  06:00:00,81650472.13674195,81650472.13674195,13569268.460220363 
 03/28  07:00:00,140083617.38670597,140083617.38670597,17982914.93774886 
 03/28  08:00:00,266804935.14741753,266804935.14741747,28667655.57303161 
 03/28  09:00:00,232285842.2535988,232285842.2535988,23210745.17242936 
 03/28  10:00:00,224441144.46982996,224441144.4698299,19905203.37422823 
 03/28  11:00:00,231817890.65418986,231817890.65418983,22560275.943123904 
 03/28  12:00:00,248114926.1420804,248114926.14208038,40205261.509617257 
 03/28  13:00:00,238523418.69239939,238523418.69239939,31238661.583152865 
 03/28  14:00:00,224176881.9648358,224176881.96483577,15502029.31314576 
 03/28  15:00:00,224394246.6369982,224394246.6369982,15475043.946489919 
 03/28  16:00:00,236019429.66009388,236019429.66009385,20336063.947620427 
 03/28  17:00:00,190408325.75737084,190408325.75737087,13655162.937692322 
 03/28  18:00:00,96335880.28560922,96335880.28560922,25820991.869102889 
 03/28  19:00:00,97528109.73448248,97528109.73448248,38544883.13215048 
 03/28  20:00:00,91339209.2203237,91339209.2203237,44827978.79919334 
 03/28  21:00:00,89282782.17150149,89282782.1715015,52608463.19027107 
 03/28  22:00:00,73301957.30496589,73301957.3049659,6791184.0 
 03/28  23:00:00,70207061.25759147,70207061.25759147,6791184.0 
 03/28  24:00:00,57335709.94418401,57335709.94418401,6791184.0 
 03/29  01:00:00,57335738.170472148,57335738.170472148,6791184.0 
 03/29  02:00:00,57335738.170472148,57335738.170472148,6791184.0 
 03/29  03:00:00,57335738.170472148,57335738.170472148,6791184.0 
 03/29  04:00:00,57335738.170472148,57335738.170472148,6791184.0 
 03/29  05:00:00,58162225.08261116,58162225.08261116,6791184.0 
 03/29  06:00:00,86460436.23469503,86460436.23469503,72404110.92672092 
 03/29  07:00:00,150663772.35401947,150663772.35401947,63070670.23502682 
 03/29  08:00:00,268010202.23956228,268010202.23956225,45280542.174246508 
 03/29  09:00:00,231838954.55845089,231838954.55845083,43880512.88218263 
 03/29  10:00:00,228081794.9122563,228081794.91225628,41070729.554041478 
 03/29  11:00:00,234582265.65041966,234582265.65041966,54359513.79622476 
 03/29  12:00:00,248088542.7586554,248088542.75865535,49226913.672599557 
 03/29  13:00:00,238598502.85912115,238598502.85912109,24491062.00645251 
 03/29  14:00:00,224090299.70714576,224090299.7071457,30964477.60224702 
 03/29  15:00:00,224912377.5813714,224912377.5813714,40043499.73317365 
 03/29  16:00:00,237091823.62305726,237091823.62305726,38658739.408670838 
 03/29  17:00:00,190810665.31476463,190810665.31476463,36133283.40567676 
 03/29  18:00:00,99129918.71145521,99129918.71145521,47840743.44191337 
 03/29  19:00:00,97528109.73448248,97528109.73448248,62323784.97439989 
 03/29  20:00:00,91981092.88175559,91981092.88175558,75537452.34463966 
 03/29  21:00:00,90196609.21179205,90196609.21179207,78359492.39009847 
 03/29  22:00:00,73301957.30496589,73301957.3049659,6791184.0 
 03/29  23:00:00,70207061.25759147,70207061.25759147,6791184.0 
 03/29  24:00:00,57335709.94418401,57335709.94418401,6791184.0 
 03/30  01:00:00,57335738.170472148,57335738.170472148,6791184.0 
 03/30  02:00:00,57335738.170472148,57335738.170472148,6791184.0 
 03/30  03:00:00,57335738.170472148,57335738.170472148,6791184.0 
 03/30  04:00:00,57335738.170472148,57335738.170472148,6791184.0 
 03/30  05:00:00,58162225.08261116,58162225.08261116,6791184.0 
 03/30  06:00:00,100771443.15310189,100771443.15310189,95291828.47306738 
 03/30  07:00:00,166116876.07784028,166116876.07784028,82521016.64579517 
 03/30  08:00:00,273134323.8163827,273134323.81638267,45883267.53896674 
 03/30  09:00:00,231955973.0275603,231955973.02756024,19732905.923429274 
 03/30  10:00:00,223795917.4475775,223795917.44757746,6791184.0 
 03/30  11:00:00,230900656.04708738,230900656.04708735,11357933.188021955 
 03/30  12:00:00,246572777.01000933,246572777.01000927,25716588.203160258 
 03/30  13:00:00,253774304.53756655,253774304.53756655,25579259.51396109 
 03/30  14:00:00,240081825.77958853,240081825.77958853,15504560.481525163 
 03/30  15:00:00,237456919.04081626,237456919.04081626,15478542.641669525 
 03/30  16:00:00,246961107.96629686,246961107.96629686,20332869.240072766 
 03/30  17:00:00,187827635.7127093,187827635.71270929,11046750.949540958 
 03/30  18:00:00,95343031.44510439,95343031.44510439,12912101.518037826 
 03/30  19:00:00,97528109.73448248,97528109.73448248,32757495.283225638 
 03/30  20:00:00,91339209.2203237,91339209.2203237,44948462.03605465 
 03/30  21:00:00,86696647.35408427,86696647.35408427,53035197.19937294 
 03/30  22:00:00,73301957.30496589,73301957.3049659,6791184.0 
 03/30  23:00:00,70207061.25759147,70207061.25759147,6791184.0 
 03/30  24:00:00,57335709.94418401,57335709.94418401,6791184.0 
 03/31  01:00:00,57335738.170472148,57335738.170472148,6791184.0 
 03/31  02:00:00,57335738.170472148,57335738.170472148,6791184.0 
 03/31  03:00:00,57335738.170472148,57335738.170472148,6791184.0 
 03/31  04:00:00,57335738.170472148,57335738.170472148,6791184.0 
 03/31  05:00:00,58162225.08261116,58162225.08261116,6791184.0 
 03/31  06:00:00,82074175.14449868,82074175.14449866,66463927.60422553 
 03/31  07:00:00,148969234.55610133,148969234.55610133,58016563.07427794 
 03/31  08:00:00,266263253.10905446,266263253.10905443,31233791.904591107 
 03/31  09:00:00,230804313.9859172,230804313.9859172,10430711.482473568 
 03/31  10:00:00,223254154.76493783,223254154.76493777,6791184.0 
 03/31  11:00:00,230880769.18111823,230880769.1811182,15932299.4376055 
 03/31  12:00:00,247641008.82668633,247641008.8266863,25773257.440844414 
 03/31  13:00:00,258794458.7033576,258794458.7033576,20873145.419408509 
