Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),PACU_VAV_BOT:Air System Total Heating Energy [J](Hourly),PACU_VAV_BOT:Air System Total Cooling Energy [J](Hourly),PACU_VAV_MID:Air System Total Heating Energy [J](Hourly),PACU_VAV_MID:Air System Total Cooling Energy [J](Hourly),PACU_VAV_TOP:Air System Total Heating Energy [J](Hourly),PACU_VAV_TOP:Air System Total Cooling Energy [J](Hourly) 
 01/03  14:00:00,17.833333333333333,5993853.188000764,47476085.26634161,3769900.7728938867,31467916.334686225,3497235.4954677608,30405685.62865507 
 01/03  15:00:00,17.583333333333333,5509098.009885506,42231895.35612509,3627926.355674383,28673847.135638585,3569792.3946721537,28787152.722014548 
 01/03  16:00:00,17.416666666666669,5580130.309903468,40544873.98868782,3722901.2858740587,27889300.919401524,3403350.093685327,26561227.23598204 
 01/03  17:00:00,14.666666666666666,6151497.311811396,11368238.603511572,3116486.566638883,6720969.858864868,2816719.7905005777,6543375.243822648 
 01/03  18:00:00,13.0,8115482.621577048,0.0,2420372.7772583027,0.0,2424852.4087410767,0.0 
 01/03  19:00:00,11.833333333333334,2954384.065976549,0.0,2420372.7772582957,0.0,2651580.4800530907,0.0 
 01/03  20:00:00,11.583333333333334,2954384.0659765515,0.0,2420372.7772583009,0.0,2562539.5689337339,0.0 
 01/03  21:00:00,10.833333333333334,3783444.039929305,0.0,4027838.007916037,0.0,5804463.246566972,0.0 
 01/03  22:00:00,8.833333333333334,9922643.60135881,0.0,10846020.170056617,0.0,14661843.720848926,0.0 
 01/03  23:00:00,9.75,0.0,0.0,0.0,0.0,0.0,0.0 
 01/03  24:00:00,9.25,0.0,0.0,0.0,0.0,0.0,0.0 
 01/04  01:00:00,8.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/04  02:00:00,8.583333333333334,0.0,0.0,0.0,0.0,0.0,0.0 
 01/04  03:00:00,10.166666666666666,0.0,0.0,0.0,0.0,0.0,0.0 
 01/04  04:00:00,9.25,0.0,0.0,0.0,0.0,0.0,0.0 
 01/04  05:00:00,6.25,0.0,0.0,0.0,0.0,0.0,0.0 
 01/04  06:00:00,6.166666666666667,0.0,0.0,0.0,0.0,0.0,0.0 
 01/04  07:00:00,7.583333333333333,14202041.202446718,0.0,15310547.5352606,0.0,22164020.324495015,0.0 
 01/04  08:00:00,10.333333333333334,18444908.93629648,441039.9699023582,6589991.390723061,0.0,19905694.627596685,0.0 
 01/04  09:00:00,13.166666666666666,7329807.988073334,0.0,2754244.254286712,0.0,2439747.696406486,0.0 
 01/04  10:00:00,15.75,5522216.815876901,20769063.987959684,3367578.712177685,13251681.346739952,2767772.0995081325,11369758.77765182 
 01/04  11:00:00,17.583333333333333,5423560.635200589,41630245.60411016,3431208.6648409345,27463356.94475311,3131080.8598056838,25904793.59201953 
 01/04  12:00:00,18.583333333333333,6084443.35312646,57284924.528284,3779995.6234489337,37613262.80228621,3488230.580522158,36114278.6406987 
 01/04  13:00:00,19.0,5424643.099153106,58158047.60549526,3514813.309994447,39094999.30072575,3580350.9113857115,40199312.821057599 
 01/04  14:00:00,19.583333333333333,6913395.266068322,75275573.4036843,3909835.2466705476,46960539.81464867,3733605.6564926404,46295650.015020977 
 01/04  15:00:00,19.416666666666669,6440792.883192452,70090744.78360129,4253540.365163932,47977570.38728556,3908138.6989774128,46348623.66440086 
 01/04  16:00:00,18.416666666666669,6590138.962604522,58073932.74140781,4579383.3558928309,41179471.72366814,3734875.4815645825,36683614.92781685 
 01/04  17:00:00,16.833333333333333,7004190.050340692,38941245.164296399,3867261.4550044529,23996076.443250024,3196444.5502450119,21620505.629800425 
 01/04  18:00:00,15.416666666666666,5768365.600991381,17392349.68465193,2462364.386882184,9221581.665883398,2432918.9764847548,9244468.205413174 
 01/04  19:00:00,14.416666666666666,3002402.755337587,3200084.875198401,2420372.7772583018,2499526.930333616,2424852.4087410715,2538566.622368385 
 01/04  20:00:00,11.666666666666666,3166419.9051281486,0.0,3165572.9610477464,0.0,3764243.2489205047,0.0 
 01/04  21:00:00,10.583333333333334,3084686.253966473,0.0,3711405.0553091659,0.0,5828969.574835817,0.0 
 01/04  22:00:00,10.416666666666666,3888453.7930438739,0.0,4447042.7110569779,0.0,7116057.0284077669,0.0 
 01/04  23:00:00,11.166666666666666,0.0,0.0,0.0,0.0,0.0,0.0 
 01/04  24:00:00,9.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0 
 01/05  01:00:00,8.583333333333334,0.0,0.0,0.0,0.0,0.0,0.0 
 01/05  02:00:00,7.833333333333333,0.0,0.0,0.0,0.0,0.0,0.0 
 01/05  03:00:00,6.416666666666667,0.0,0.0,0.0,0.0,0.0,0.0 
 01/05  04:00:00,6.583333333333333,0.0,0.0,0.0,0.0,0.0,0.0 
 01/05  05:00:00,7.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/05  06:00:00,7.583333333333333,0.0,0.0,0.0,0.0,0.0,0.0 
 01/05  07:00:00,6.25,16899277.670517774,0.0,18541182.584144746,0.0,23228503.984366444,0.0 
 01/05  08:00:00,7.333333333333333,23622736.269290639,0.0,15393144.97044453,0.0,28098205.523521179,0.0 
 01/05  09:00:00,11.333333333333334,9233355.920572523,0.0,4148680.6654196197,0.0,5942579.581010377,0.0 
 01/05  10:00:00,14.75,6382357.9024646659,10979360.963542868,3694599.437282474,6865649.677866854,2838085.1465066384,5578269.463277596 
 01/05  11:00:00,16.583333333333333,6232976.08472833,32954147.905061366,3831986.708463546,21424653.89149127,3214989.885620308,19046821.05733205 
