Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 10/28  13:00:00,136218381.50256128,136218381.50256125,6791184.0 
 10/28  14:00:00,127828191.47722636,127828191.47722635,6791184.0 
 10/28  15:00:00,121081414.86884918,121081414.86884916,6791184.0 
 10/28  16:00:00,116823436.21019171,116823436.2101917,6791184.0 
 10/28  17:00:00,91509722.28450835,91509722.28450836,6791184.0 
 10/28  18:00:00,66276703.53612528,66276703.53612528,6791184.0 
 10/28  19:00:00,49290893.81922844,49290893.81922844,6791184.0 
 10/28  20:00:00,48904615.70955593,48904615.70955593,6791184.0 
 10/28  21:00:00,48904615.70955593,48904615.70955593,6791184.0 
 10/28  22:00:00,48904615.70955593,48904615.70955593,6791184.0 
 10/28  23:00:00,48904615.70955593,48904615.70955593,6791184.0 
 10/28  24:00:00,46359235.70955593,46359235.709555927,6791184.0 
 10/29  01:00:00,46359235.70955593,46359235.709555927,6791184.0 
 10/29  02:00:00,46359235.70955593,46359235.709555927,6791184.0 
 10/29  03:00:00,46359235.70955593,46359235.709555927,6791184.0 
 10/29  04:00:00,46359235.70955593,46359235.709555927,6791184.0 
 10/29  05:00:00,46359235.70955593,46359235.709555927,6791184.0 
 10/29  06:00:00,66032185.73006148,66032185.73006148,6791184.0 
 10/29  07:00:00,46890413.8343233,46890413.8343233,6791184.0 
 10/29  08:00:00,46332290.06574491,46332290.0657449,6791184.0 
 10/29  09:00:00,46288812.51597283,46288812.51597283,6791184.0 
 10/29  10:00:00,61697238.453863907,61697238.453863907,6791184.0 
 10/29  11:00:00,80480413.61705016,80480413.61705016,6791184.0 
 10/29  12:00:00,87411787.43975383,87411787.43975383,6791184.0 
 10/29  13:00:00,87075091.18990226,87075091.18990226,6791184.0 
 10/29  14:00:00,88587106.82475539,88587106.82475537,6791184.0 
 10/29  15:00:00,83427987.29977274,83427987.29977274,6791184.0 
 10/29  16:00:00,82736665.3496391,82736665.3496391,6791184.0 
 10/29  17:00:00,50154772.61875671,50154772.61875671,6791184.0 
 10/29  18:00:00,57105773.81922845,57105773.81922844,6791184.0 
 10/29  19:00:00,48904615.70955593,48904615.70955593,6791184.0 
 10/29  20:00:00,48904615.70955593,48904615.70955593,6791184.0 
 10/29  21:00:00,48904615.70955593,48904615.70955593,6791184.0 
 10/29  22:00:00,48904615.70955593,48904615.70955593,6791184.0 
 10/29  23:00:00,48904615.70955593,48904615.70955593,6791184.0 
 10/29  24:00:00,46359235.70955593,46359235.709555927,6791184.0 
 10/30  01:00:00,57609860.1137362,57609860.1137362,6791184.0 
 10/30  02:00:00,57609860.1137362,57609860.1137362,6791184.0 
 10/30  03:00:00,57609860.1137362,57609860.1137362,6791184.0 
 10/30  04:00:00,57609860.1137362,57609860.1137362,6791184.0 
 10/30  05:00:00,57609860.1137362,57609860.1137362,6791184.0 
 10/30  06:00:00,92591063.7471528,92591063.7471528,16075558.729794385 
 10/30  07:00:00,140675600.5328648,140675600.5328648,8921109.882030914 
 10/30  08:00:00,313309474.24594727,313309474.2459472,6791184.0 
 10/30  09:00:00,309046614.32384917,309046614.3238491,6791184.0 
 10/30  10:00:00,316382736.563845,316382736.5638449,6791184.0 
 10/30  11:00:00,335763072.55583086,335763072.5558308,6791184.0 
 10/30  12:00:00,342065384.17260119,342065384.1726011,25613712.429878754 
 10/30  13:00:00,363922947.1839795,363922947.1839795,25440067.466886037 
 10/30  14:00:00,364111351.7971603,364111351.7971603,14038522.638782137 
 10/30  15:00:00,374082307.29081276,374082307.2908127,12569603.310283699 
 10/30  16:00:00,380404392.61956939,380404392.6195693,20271781.45057174 
 10/30  17:00:00,267588495.17244876,267588495.17244873,11021429.604603997 
 10/30  18:00:00,162139549.56705288,162139549.56705285,10969569.195295915 
 10/30  19:00:00,135098640.00919099,135098640.00919099,6791184.0 
 10/30  20:00:00,116149848.44396913,116149848.44396913,6791184.0 
 10/30  21:00:00,99660426.00201538,99660426.00201541,6791184.0 
